"file_identifier","datasource","first_harvest_date","last_harvest_date","last_mdate_check_date","mdate","doi"
"USGS:585317b6e4b0e2663625f1bf","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7K35RTP"
"USGS:591f9304e4b0ac16dbdde242","Colorado Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7S180ZP"
"USGS:591f6d02e4b0ac16dbdde1c7","Colorado Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7S180ZP"
"USGS:5920c726e4b0ac16dbdf3a16","Colorado Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7S180ZP"
"USGS:591f1ddae4b0ac16dbdde049","Colorado Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7S180ZP"
"USGS:5925d47fe4b0b7ff9fb3cb3e","Colorado Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F70863S6"
"USGS:578f933ce4b0ad6235cf762c","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7BZ645J"
"USGS:585de173e4b01224f329bed3","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7P26W84"
"USGS:5e34574ce4b0a79317dae3c0","Geologic Hazards Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9TFRP5D"
"USGS:585c58fbe4b01224f329bbf5","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7P26W84"
"USGS:5c1d8474e4b0708288ca132c","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7P26W84"
"USGS:5d2fbdd2e4b01d82ce82c99f","Earthquake Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P94HDTD8"
"USGS:55e782d6e4b0dacf699dd3a4","Landslide Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7X928BN"
"USGS:55e7817de4b0dacf699dd387","Landslide Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7X928BN"
"USGS:59557881e4b04e08be532c9a","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7416VXX"
"USGS:5dfc2280e4b0b207a9fe8235","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P97S2IID"
"USGS:5dfbcddfe4b0ff479b8c45a8","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9MZGHLF"
"USGS:5e5d460ee4b01d50924f2c85","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9T291DH"
"USGS:5e135da6e4b0ecf25c53b2a2","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9JW167N"
"USGS:5ba9511ee4b08583a5ca09fe","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9K1GD9W"
"USGS:5a54ee02e4b01e7be24292bb","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7Z60N98"
"USGS:5a8701ade4b00f54eb3a2b17","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7B27TG8"
"USGS:5db9be62e4b06957974eb5ca","Geologic Hazards Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9P77LGZ"
"USGS:571e817ce4b071321fe567ea","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7M32SW5"
"USGS:5db05ee3e4b0b0c58b56c193","Geologic Hazards Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9F930FI"
"USGS:5b58a700e4b05cbf87c8c7a6","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9NHQW8M"
"USGS:58afcbcfe4b01ccd54fb2552","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7KP80B9"
"USGS:5dd715f3e4b0695797650d18","Geologic Hazards Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9JN6H0N"
"USGS:5b18188be4b092d965219acf","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7P26X4R"
"USGS:57715474e4b07657d1a6ba45","Dakota Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F79G5JWD"
"USGS:5a29ab10e4b03852baff8dbf","Dakota Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7H130XV"
"USGS:577d689ee4b0ef4d2f43b473","Dakota Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7NG4NQ4"
"USGS:5d4de46be4b01d82ce8e07fb","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2019-11-18 00:00:00","doi:10.5066/F7Q81C0T"
"USGS:5d7804a1e4b0c4f70d020c97","Water - Earth System Processes Division","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9EIV8L5"
"USGS:578e4c9ce4b0f1bea0e147a8","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7S75DFV"
"USGS:578e403de4b0f1bea0e14740","Earth Resources Observation and Science (EROS) Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7S75DFV"
"USGS:5e82a8f4e4b01d5092794b89","Water - Earth System Processes Division","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P97HDPAY"
"USGS:5966abe6e4b0d1f9f05cf551","Water - Earth System Processes Division","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7D21WGF"
"USGS:5db30989e4b0b0c58b585c0e","Geologic Hazards Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9O4DJ1G"
"USGS:5aa41834e4b0b1c392eaaf3b","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7PV6JNV"
"USGS:57f7d8f2e4b0bc0bec09d04d","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F73B5X8N"
"USGS:5a569c7ae4b01e7be2444da0","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F71Z43NV"
"USGS:5aa1b00ee4b0b1c392e86467","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7PV6JNV"
"USGS:5b1019f1e4b0c39c934b22fe","Earthquake Hazards Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9PPLQIM"
"USGS:5b845684e4b05f6e321b62ba","National Research Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9A88C67"
"USGS:5d6005a6e4b01d82ce9853e3","Energy Resources Program","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","doi:10.5066/P9HSWE98"
"USGS:56748ed3e4b0da412f4f88bf","Florence Bascom Geoscience Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","doi:10.5066/F7DN434F"
"USGS:56748ed3e4b0da412f4f88c9","Florence Bascom Geoscience Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","doi:10.5066/F7DN434F"
"USGS:5775a2d9e4b07dd077c7704a","Florence Bascom Geoscience Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","doi:10.5066/F76D5R2H"
"USGS:5aa96e0de4b0b1c392f16cab","California Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","doi:10.5066/F7SF2VF5"
"USGS:5cae3011e4b0c3b00654cec3","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9DGJHEP"
"USGS:5cae3147e4b0c3b00654cee0","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9DGJHEP"
"USGS:5a9de072e4b0699060718a80","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/F7VQ320K"
"USGS:5cdc2ea5e4b0f324a7cefbe9","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9ITCS55"
"USGS:5bb67c9be4b0fc368e894684","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9K11LGN"
"USGS:5a9dc7ece4b06990607188ca","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/F7GM86GZ"
"USGS:583f1b71e4b04fc80e3b0cf5","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:5866d950e4b0cd2dabe7c697","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:587d020ee4b07af201111b93","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:5aa6d3fbe4b0b1c392ed6791","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:583f18bce4b04fc80e3ae8ee","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:583f0fb5e4b04fc80e3a7ce3","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P927I36K"
"USGS:5acbf880e4b0e2c2dd13d4ef","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/F7GT5MGV"
"USGS:5d76b653e4b0c4f70d01ff0d","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9CSRABT"
"USGS:5786aa1be4b0e02680c150b9","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/F7ZK5DSB"
"USGS:5d77fcf2e4b0c4f70d020c48","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9CSRABT"
"USGS:5e8f8da582cee42d134ae170","Fort Collins Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/P9U7278U"
"USGS:57f2b772e4b0bc0bec005744","Water - Office of Planning and Programming","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","doi:10.5066/F75H7DCW"
"USGS:577597c8e4b07dd077c7700f",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","None"
"USGS:5ed5496c82ce2832f047ef7c",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9E5JBAF"
"USGS:5ec2b17582ce476925e89f21",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-12 00:00:00","doi:10.5066/P9ET61S4"
"USGS:5ec55e3482ce476925eb52b2",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9LROJE4"
"USGS:577c1b8ae4b0ef4d2f42651b",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","None"
"USGS:5eec31a182ce3bd58d89b212",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9Z81IQU"
"USGS:5ebaab0082ce25b513617fb1",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/P9AU43GI"
"USGS:5a90ade1e4b0699060675016",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7Cf9PC4"
"USGS:577592d5e4b07dd077c76fdc",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-19 00:00:00","None"
"USGS:5ea1f44a82cefae35a19190d",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9X0P4HZ"
"USGS:5ea2ecb182cefae35a191dba",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9YWP926"
"USGS:5a8c995de4b069906054df91",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/F7Cf9PC4"
"USGS:57c08434e4b0f2f0ceb88f8a",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-20 00:00:00","None"
"USGS:5ef650d382ced62aaae8d193",NULL,"2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-18 00:00:00","doi:10.5066/P9Z81IQU"
